Distance Travelled,Radial Distance,Deadend,Turned Head,Blocks,Radius,Timeout,Collided
7.829221958,7.577031402,FALSE,0,50,5,FALSE,FALSE
3.870494765,3.540833277,FALSE,0,72,6,FALSE,TRUE
2.662340225,2.492916891,TRUE,0,162,9,FALSE,FALSE
6.638022858,6.286350766,FALSE,0,32,4,FALSE,FALSE
4.992500908,4.920768498,TRUE,0,128,8,FALSE,FALSE
1.976139613,1.916215033,TRUE,0,72,6,FALSE,FALSE
4.930140094,4.892265303,FALSE,0,18,3,FALSE,FALSE
6.465092367,6.246480843,FALSE,0,32,4,FALSE,FALSE
3.791508227,3.402164376,FALSE,0,200,10,FALSE,TRUE
6.358337555,5.360025941,TRUE,0,128,8,FALSE,FALSE
13.15890548,7.54771565,TRUE,0,242,11,FALSE,FALSE
2.954023209,2.902963362,TRUE,0,242,11,FALSE,FALSE
5.737800502,5.376172964,TRUE,0,242,11,FALSE,FALSE
8.540515675,7.708967567,FALSE,0,50,5,FALSE,FALSE
4.825047974,4.787066303,FALSE,0,18,3,FALSE,FALSE
9.210542762,9.022049021,FALSE,0,72,6,FALSE,FALSE
10.27837239,9.034805138,FALSE,0,72,6,FALSE,FALSE
7.275016847,4.817364309,FALSE,0,200,10,FALSE,TRUE
2.036135766,1.978720164,TRUE,0,72,6,FALSE,FALSE
3.650020259,3.641050313,TRUE,0,98,7,FALSE,FALSE
3.430143441,3.236344266,TRUE,0,50,5,FALSE,FALSE
6.474419223,6.285701972,FALSE,0,32,4,FALSE,FALSE
3.269550754,3.006273184,TRUE,0,98,7,FALSE,FALSE
4.850390118,4.850358596,FALSE,0,18,3,FALSE,FALSE
6.472754922,6.201623427,FALSE,0,32,4,FALSE,FALSE
6.472754922,6.201623427,FALSE,0,32,4,FALSE,FALSE
10.73212737,9.120372378,FALSE,0,72,6,FALSE,FALSE
11.1215376,10.48413419,FALSE,0,98,7,FALSE,FALSE
8.019899573,7.636021755,FALSE,0,50,5,FALSE,FALSE
3.641064089,3.641041602,TRUE,0,128,8,FALSE,FALSE
5.254667196,4.931646953,FALSE,0,72,6,FALSE,TRUE
3.375459059,3.238806214,TRUE,0,162,9,FALSE,FALSE
8.997316929,7.675264036,FALSE,0,50,5,FALSE,FALSE
4.235014059,4.111424606,FALSE,0,72,6,FALSE,TRUE
1.965310279,1.923191619,TRUE,0,128,8,FALSE,FALSE
1.630599233,1.630060921,TRUE,0,50,5,FALSE,FALSE
3.934395777,3.805331781,FALSE,0,200,10,FALSE,TRUE
2.569764085,2.010726706,TRUE,0,32,4,FALSE,FALSE
1.630599233,1.630060921,TRUE,0,32,4,FALSE,FALSE
7.57842518,7.578376107,FALSE,0,50,5,FALSE,FALSE
4.850390118,4.850358596,FALSE,0,18,3,FALSE,FALSE
11.59297729,10.44407543,FALSE,0,98,7,FALSE,FALSE
4.850390118,4.850358596,FALSE,0,18,3,FALSE,FALSE
10.08459269,9.028801526,FALSE,0,72,6,FALSE,FALSE
5.049621685,4.781938478,FALSE,0,18,3,FALSE,FALSE
4.771724392,4.574051238,TRUE,0,128,8,FALSE,FALSE
1.923890827,1.688926694,TRUE,0,98,7,FALSE,FALSE
4.885269097,4.79104516,FALSE,0,18,3,FALSE,FALSE
6.396025053,6.241790054,FALSE,0,32,4,FALSE,FALSE
5.913513164,5.870851496,TRUE,0,162,9,FALSE,FALSE
4.659398301,4.419782827,TRUE,0,72,6,FALSE,FALSE
