Distance Travelled,Radial Distance,Deadend,Turned Head,Blocks,Radius,Timeout
3.119136708,2.827861925,FALSE,237,98,7,TRUE
16.83900891,10.30235664,TRUE,6,242,11,FALSE
6.166816181,5.66332198,TRUE,2,128,8,FALSE
2.616054405,2.527864279,TRUE,8,32,4,FALSE
5.403253846,5.255324658,TRUE,2,242,11,FALSE
2.375702781,2.303398134,TRUE,1,98,7,FALSE
6.274232122,6.181885883,FALSE,0,32,4,FALSE
10.98984993,10.42727791,FALSE,0,98,7,FALSE
6.458603258,6.295256599,FALSE,1,32,4,FALSE
4.037652656,3.924799852,TRUE,7,128,8,FALSE
4.527466433,3.921336219,TRUE,2,162,9,FALSE
1.747331775,1.699692999,TRUE,2,98,7,FALSE
9.347570393,9.026509086,FALSE,0,72,6,FALSE
10.63999583,10.48428207,FALSE,0,98,7,FALSE
3.971192867,3.507334959,TRUE,2,162,9,FALSE
13.97106916,10.44522926,FALSE,5,98,7,FALSE
12.47639608,11.84558405,FALSE,0,128,8,FALSE
5.00396538,4.852555748,FALSE,0,18,3,FALSE
9.714471593,8.564575922,FALSE,219,128,8,TRUE
12.28036628,11.82732521,FALSE,0,128,8,FALSE
4.782392436,4.747202762,FALSE,0,18,3,FALSE
5.004402441,4.866758604,FALSE,0,18,3,FALSE
2.683228916,2.408419261,TRUE,6,18,3,FALSE
4.960313349,4.876438524,FALSE,0,18,3,FALSE
7.228824174,3.734842069,TRUE,13,128,8,FALSE
9.02941749,4.807827383,TRUE,4,162,9,FALSE
2.661685129,2.468640822,TRUE,8,98,7,FALSE
9.676335426,9.044114553,FALSE,0,72,6,FALSE
2.572123148,2.057253403,FALSE,238,162,9,TRUE
5.905733809,5.716952088,TRUE,3,128,8,FALSE
7.780748258,7.679304603,FALSE,0,50,5,FALSE
10.57740607,10.44602769,FALSE,0,98,7,FALSE
3.898696022,3.784108489,TRUE,1,98,7,FALSE
24.17875004,4.123041035,TRUE,18,242,11,FALSE
6.594185593,6.176651478,FALSE,3,32,4,FALSE
5.14803199,4.244643019,FALSE,227,242,11,TRUE
2.710161609,2.652442477,TRUE,1,128,8,FALSE
3.347014175,2.916061278,TRUE,4,128,8,FALSE
8.707699962,8.341036217,TRUE,6,242,11,FALSE
1.895980029,1.543584423,FALSE,240,200,10,TRUE
9.397188893,9.001844003,FALSE,1,72,6,FALSE
8.830852779,8.097520427,TRUE,3,200,10,FALSE
3.320700753,2.854314185,FALSE,235,242,11,TRUE
15.65331712,14.70259323,FALSE,3,200,10,FALSE
9.396670435,9.008006479,FALSE,0,72,6,FALSE
8.823120528,7.692080449,FALSE,0,50,5,FALSE
2.589263322,2.543549247,TRUE,2,98,7,FALSE
3.321344347,2.873266626,FALSE,242,242,11,TRUE
1.895980029,1.543584423,FALSE,240,32,4,TRUE
7.920840475,7.03761851,TRUE,2,128,8,FALSE
5.241828278,4.699490537,TRUE,1,162,9,FALSE
7.884784801,6.926254481,TRUE,2,200,10,FALSE
1.753795658,1.556166963,TRUE,10,18,3,FALSE
1.86873348,1.824344516,TRUE,2,200,10,FALSE
3.222499354,2.866385191,FALSE,237,50,5,TRUE
4.825609524,4.822081193,FALSE,0,18,3,FALSE
10.94680738,10.52953999,FALSE,0,98,7,FALSE
6.151443556,6.066892662,TRUE,2,242,11,FALSE
7.57842518,7.578376107,FALSE,0,50,5,FALSE
6.190486798,6.18653289,FALSE,0,32,4,FALSE
6.759543093,6.280382663,FALSE,0,32,4,FALSE
4.850390118,4.850358596,FALSE,0,18,3,FALSE
10.56811888,7.656651263,FALSE,3,50,5,FALSE
6.289853087,6.252741315,FALSE,0,32,4,FALSE
2.871968794,2.760916248,TRUE,4,98,7,FALSE
4.812805431,4.794276408,FALSE,0,18,3,FALSE
2.906771994,2.769405395,TRUE,4,50,5,FALSE
8.146334042,7.718542948,FALSE,0,50,5,FALSE
2.429292802,2.337253788,TRUE,1,242,11,FALSE
15.94887033,15.37799699,FALSE,0,242,11,TRUE
1.92648006,1.847302349,TRUE,7,200,10,FALSE
2.762104343,2.651949528,TRUE,1,128,8,FALSE
3.117547279,1.737760686,TRUE,32,18,3,FALSE
7.915187284,7.6134685,FALSE,0,50,5,FALSE
3.199071407,2.878809479,TRUE,6,162,9,FALSE
8.108027875,5.54893149,TRUE,1,242,11,FALSE
5.386904774,3.826619496,FALSE,223,200,10,TRUE
1.515809744,1.496244844,TRUE,7,72,6,FALSE
2.558743373,2.397350828,TRUE,1,162,9,FALSE
6.253681802,6.203960456,FALSE,0,32,4,FALSE
1.944422271,1.823534603,TRUE,2,242,11,FALSE
7.286014321,6.300410051,FALSE,2,32,4,FALSE
11.21972372,10.41570646,FALSE,0,98,7,FALSE
1.793941095,1.722762967,TRUE,13,200,10,FALSE
6.190486798,6.18653289,FALSE,0,32,4,FALSE
2.037030355,1.984308359,TRUE,2,128,8,FALSE
2.557601025,2.446026765,TRUE,1,162,9,FALSE
6.345996438,6.306084047,FALSE,0,32,4,FALSE
