Distance Travelled,Radial Distance,Deadend,Turned Head,Blocks,Radius,Timeout
4.890451503,4.763817858,FALSE,0,18,3,FALSE
1.060952914,1.045128652,TRUE,0,98,7,FALSE
0,0,TRUE,0,50,5,FALSE
2.39778009,2.088567421,TRUE,0,50,5,FALSE
1.736318224,1.678184162,TRUE,0,128,8,FALSE
10.80130278,10.54172441,FALSE,0,98,7,FALSE
4.780258714,4.750011016,FALSE,0,18,3,FALSE
6.332961803,6.272835406,FALSE,0,32,4,FALSE
0,0,TRUE,0,72,6,FALSE
2.960461285,2.867654509,TRUE,0,128,8,FALSE
3.408442765,3.168782448,TRUE,0,162,9,FALSE
7.771509596,7.57504881,FALSE,0,50,5,FALSE
0.6051835335,0.6051806885,TRUE,0,98,7,FALSE
1.716120069,1.558881088,TRUE,0,128,8,FALSE
1.032364251,1.016352192,TRUE,0,72,6,FALSE
2.880183497,2.848498556,TRUE,0,72,6,FALSE
12.40761823,11.95125082,FALSE,0,128,8,FALSE
3.307448279,3.198421891,TRUE,0,200,10,FALSE
3.928124277,3.763730465,TRUE,0,242,11,FALSE
1.030947085,1.014934898,TRUE,0,162,9,FALSE
4.819856066,4.815983979,FALSE,0,18,3,FALSE
4.0988447,3.926066545,TRUE,0,242,11,FALSE
4.276951119,3.830867496,TRUE,0,72,6,FALSE
1.630599233,1.630060921,TRUE,0,242,11,FALSE
6.399277486,5.996885483,TRUE,0,200,10,FALSE
10.77153687,10.44301629,FALSE,0,98,7,FALSE
0,0,TRUE,0,162,9,FALSE
4.575874752,4.285186357,TRUE,0,128,8,FALSE
1.976139613,1.916215033,TRUE,0,162,9,FALSE
5.021444353,4.58785679,TRUE,0,242,11,FALSE
0.6051835335,0.6051806885,TRUE,0,98,7,FALSE
4.260228136,3.896040722,TRUE,0,128,8,FALSE
0,0,TRUE,0,98,7,FALSE
7.748223193,7.710530677,FALSE,0,50,5,FALSE
3.278983071,3.160854866,TRUE,0,162,9,FALSE
6.289853087,6.252741315,FALSE,0,32,4,FALSE
7.988624758,7.598444628,FALSE,0,50,5,FALSE
8.542774235,8.26302289,TRUE,0,242,11,FALSE
16.39319851,15.84524746,FALSE,0,242,11,TRUE
7.892762996,7.705539458,FALSE,0,50,5,FALSE
5.024445742,4.96714817,TRUE,0,98,7,FALSE
0,0,TRUE,0,50,5,FALSE
6.195662546,6.19209135,FALSE,0,32,4,FALSE
0,0,TRUE,0,242,11,FALSE
3.31989043,3.257002978,TRUE,0,98,7,FALSE
1.91876197,1.873375893,TRUE,0,128,8,FALSE
2.396984025,2.084832506,TRUE,0,98,7,FALSE
2.464126984,2.430940348,TRUE,0,242,11,FALSE
1.944869797,1.892273551,TRUE,0,72,6,FALSE
2.871860996,2.849608408,TRUE,0,242,11,FALSE
0,0,TRUE,0,32,4,FALSE
2.835377827,2.776064438,TRUE,0,242,11,FALSE
14.93472538,14.71961603,FALSE,0,200,10,FALSE
0.6051835335,0.6051806885,TRUE,0,50,5,FALSE
1.884201203,1.850205486,TRUE,0,50,5,FALSE
3.186854241,3.058127584,TRUE,0,162,9,FALSE
2.823293234,2.749034725,TRUE,0,200,10,FALSE
0,0,TRUE,0,32,4,FALSE
2.036135766,1.978720164,TRUE,0,128,8,FALSE
6.22747919,6.190731428,FALSE,0,32,4,FALSE
1.763869925,1.558211687,TRUE,0,242,11,FALSE
